time,NO2,CO,SO2
2025-10-10,0.0002441760734654,0.035549096763134,0.00034048196154317056
2025-10-11,0.0002021354248426,0.0351310446858406,0.00032315773355280587
2025-10-12,0.0001600947762198,0.0288974400609731,0.0003058335055624412
2025-10-13,0.0001180541275971,0.029216325841844,0.0002885092775720765
2025-10-14,7.601347897434607e-05,0.0295352116227149,0.00027118504958171174
2025-10-15,8.315455124829896e-05,0.029485896229743902,0.00025386082159134705
2025-10-16,9.029562352225184e-05,0.0294365808367729,0.00023653659360098233
2025-10-17,2.595069963717833e-05,0.0295738391578197,0.00021921236561061764
2025-10-18,3.709183147293516e-05,0.0302510727196931,0.00020188813762025292
2025-10-19,4.823296330869198e-05,0.0309283062815666,0.0001845639096298882
2025-10-20,6.537417980975027e-05,0.03110286114471295,0.00016723968163952351
2025-10-21,8.251539631080018e-05,0.0312774160078593,0.0001499154536491588
2025-10-22,9.965661281185009e-05,0.03145197087100565,0.0001325912256587941
2025-10-23,0.0001167978293129,0.031626525734152,0.00011526699766842941
2025-10-24,0.00013393904581396665,0.0318010805972984,9.794276967806467e-05
2025-10-25,0.00015108026231503333,0.0319756354604448,8.06185416877e-05
2025-10-26,0.0001682214788161,0.0321501903235912,0.0001876199676189
2025-10-27,0.0001580861805147,0.0317643089219927,0.0002316328900632
2025-10-28,0.0001479508822133,0.03137842752039425,0.0002756458125077
2025-10-29,0.0001378155839119,0.0309925461187958,0.00027718083292705
2025-10-30,0.0001276802856106,0.0306066647171973,0.0002787158533464
2025-10-31,0.0001175449873092,0.0302207833155989,0.0002802508737658
2025-11-01,0.0001074096890078,0.02983490191400044,0.0002817858941852
2025-11-02,9.727439070653116e-05,0.029449020512401978,0.0002833209146046
2025-11-03,8.713909240516418e-05,0.02906313911080352,0.000284855935024
2025-11-04,7.70037941037972e-05,0.02867725770920506,0.0002863909554434
2025-11-05,6.686849580243022e-05,0.0282913763076066,0.0002879259758628
2025-11-06,5.673319750106324e-05,0.02903851680457585,0.0002894609962822
2025-11-07,4.659789919969626e-05,0.0297856573015451,0.0002909960167016
2025-11-08,5.127690846248615e-05,0.0291711245663463,0.00029992956710462503
2025-11-09,5.595591772527603e-05,0.0285565918311476,0.00030886311750765003
2025-11-10,6.063492698806592e-05,0.0279420590959489,0.000317796667910675
2025-11-11,6.53139362508558e-05,0.0273275263607502,0.0003267302183137
2025-11-12,6.99929455136457e-05,0.03039710037410255,0.00033566376871675
2025-11-13,7.467195477643558e-05,0.0334666743874549,0.0003445973191198
2025-11-14,7.935096403922546e-05,0.0328247195575385,0.0003535308695228
2025-11-15,8.402997330201535e-05,0.0321827647276222,0.0003624644199258
2025-11-16,8.870898256480524e-05,0.0315408098977058,0.00037139797032885
2025-11-17,9.338799182759512e-05,0.0308988550677895,0.0003803315207319
2025-11-18,9.806700109038502e-05,0.0302569002378731,0.000389265071135
2025-11-19,8.503039134666324e-05,0.0296149454079568,0.00029254719508266664
2025-11-20,7.369881495833397e-05,0.0289729905780404,0.00019582931903033333
2025-11-21,5.509264337888453e-05,0.0283310357481241,9.911144297800002e-05
2025-11-22,3.648647179943509e-05,0.0314629450440406,0.0003592248540371
2025-11-23,4.475488094612956e-05,0.0227892100811004,0.00033002646953460003
2025-11-24,5.302329009282403e-05,0.0266171880066394,0.0003008280850321
2025-11-25,6.12916992395185e-05,0.0304451659321784,0.0002716297005297
2025-11-26,6.239183130674064e-05,0.030760500580072327,0.00024243131602725
2025-11-27,6.349196337396279e-05,0.03107583522796625,0.0002132329315248
2025-11-28,6.459209544118494e-05,0.03139116987586017,0.0001840345470223
2025-11-29,6.569222750840709e-05,0.0317065045237541,0.00015483616251985
2025-11-30,6.679235957562923e-05,0.0321907680481672,0.0001256377780174
2025-12-01,6.789249164285138e-05,0.0326750315725803,9.643939351498919e-05
2025-12-02,6.899262371007353e-05,0.0253254976123571,6.724100901257839e-05
2025-12-03,9.84351645456627e-05,0.0232358314096927,3.804262451012619e-05
2025-12-04,7.85800857556751e-05,0.02559942938387385,0.0001142144556069631
2025-12-05,5.87250069656875e-05,0.027963027358055,0.0001903862867038
2025-12-06,5.635277557303198e-05,0.0303266253322362,0.0001178921287646
2025-12-07,5.3980544180376455e-05,0.0326902233064174,4.53979708254e-05
2025-12-08,5.160831278772093e-05,0.0295236185193061,0.000173813628498425
2025-12-09,4.923608139506541e-05,0.0313522536307572,0.00030222928617145003
2025-12-10,4.686385000240989e-05,0.0331808887422084,0.000430644943844475
2025-12-11,4.449161860975437e-05,0.0323187988251447,0.0005590606015175
